survived;pclass;sex;age;sibsp;parch;fare;embarked;class;who;adult_male;deck;embark_town;alive;alone
0;1;male;40;0;0;27.72;C;First;man;True;;Cherbourg;no;True
1;1;female;;1;0;146.52;C;First;woman;False;B;Cherbourg;yes;False
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
0;2;male;66;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;1;male;28;1;0;82.17;C;First;man;True;;Cherbourg;no;False
0;1;male;42;1;0;52.00;S;First;man;True;;Southampton;no;False
1;3;male;;0;0;7.23;C;Third;man;True;;Cherbourg;yes;True
0;3;male;21;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;female;18;2;0;18.00;S;Third;woman;False;;Southampton;no;False
1;3;female;14;1;0;11.24;C;Third;child;False;;Cherbourg;yes;False
0;3;female;40;1;0;9.48;S;Third;woman;False;;Southampton;no;False
0;2;female;27;1;0;21.00;S;Second;woman;False;;Southampton;no;False
0;3;male;;0;0;7.90;C;Third;man;True;;Cherbourg;no;True
1;2;female;3;1;2;41.58;C;Second;child;False;;Cherbourg;yes;False
1;3;female;19;0;0;7.88;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;;1;0;15.50;Q;Third;man;True;;Queenstown;no;False
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;;2;0;21.68;C;Third;man;True;;Cherbourg;no;False
0;3;female;18;1;0;17.80;S;Third;woman;False;;Southampton;no;False
0;3;male;7;4;1;39.69;S;Third;child;False;;Southampton;no;False
0;3;male;21;0;0;7.80;S;Third;man;True;;Southampton;no;True
1;1;female;49;1;0;76.73;C;First;woman;False;D;Cherbourg;yes;False
1;2;female;29;1;0;26.00;S;Second;woman;False;;Southampton;yes;False
0;1;male;65;0;1;61.98;C;First;man;True;B;Cherbourg;no;False
1;1;male;;0;0;35.50;S;First;man;True;C;Southampton;yes;True
1;2;female;21;0;0;10.50;S;Second;woman;False;;Southampton;yes;True
0;3;male;28;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
1;2;female;5;1;2;27.75;S;Second;child;False;;Southampton;yes;False
0;3;male;11;5;2;46.90;S;Third;child;False;;Southampton;no;False
0;3;male;22;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
1;1;female;38;0;0;80.00;;First;woman;False;B;;yes;True
0;1;male;45;1;0;83.48;S;First;man;True;C;Southampton;no;False
0;3;male;4;3;2;27.90;S;Third;child;False;;Southampton;no;False
0;1;male;;0;0;27.72;C;First;man;True;;Cherbourg;no;True
1;3;male;;1;1;15.25;C;Third;man;True;;Cherbourg;yes;False
1;2;female;29;0;0;10.50;S;Second;woman;False;F;Southampton;yes;True
0;3;male;19;0;0;8.16;S;Third;man;True;;Southampton;no;True
1;3;female;17;4;2;7.93;S;Third;woman;False;;Southampton;yes;False
0;3;male;26;2;0;8.66;S;Third;man;True;;Southampton;no;False
0;2;male;32;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;3;female;16;5;2;46.90;S;Third;woman;False;;Southampton;no;False
0;2;male;21;0;0;73.50;S;Second;man;True;;Southampton;no;True
0;3;male;26;1;0;14.45;C;Third;man;True;;Cherbourg;no;False
1;3;male;32;0;0;56.50;S;Third;man;True;;Southampton;yes;True
0;3;male;25;0;0;7.65;S;Third;man;True;F;Southampton;no;True
0;3;male;;0;0;7.90;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
1;2;male;1;0;2;29.00;S;Second;child;False;;Southampton;yes;False
1;3;female;30;0;0;12.48;S;Third;woman;False;;Southampton;yes;True
0;3;male;22;0;0;9.00;S;Third;man;True;;Southampton;no;True
1;3;male;29;0;0;9.50;S;Third;man;True;;Southampton;yes;True
1;3;female;;0;0;7.79;Q;Third;woman;False;;Queenstown;yes;True
0;1;male;28;0;0;47.10;S;First;man;True;;Southampton;no;True
1;2;female;17;0;0;10.50;S;Second;woman;False;;Southampton;yes;True
1;3;female;33;3;0;15.85;S;Third;woman;False;;Southampton;yes;False
0;3;male;16;1;3;34.38;S;Third;man;True;;Southampton;no;False
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
1;1;female;23;3;2;263.00;S;First;woman;False;C;Southampton;yes;False
0;3;male;24;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;29;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;20;0;0;7.85;S;Third;man;True;;Southampton;no;True
0;1;male;46;1;0;61.18;S;First;man;True;E;Southampton;no;False
0;3;male;26;1;2;20.58;S;Third;man;True;;Southampton;no;False
0;3;male;59;0;0;7.25;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;1;male;71;0;0;34.65;C;First;man;True;A;Cherbourg;no;True
1;1;male;23;0;1;63.36;C;First;man;True;D;Cherbourg;yes;False
1;2;female;34;0;1;23.00;S;Second;woman;False;;Southampton;yes;False
0;2;male;34;1;0;26.00;S;Second;man;True;;Southampton;no;False
0;3;female;28;0;0;7.90;S;Third;woman;False;;Southampton;no;True
0;3;male;;0;0;7.90;S;Third;man;True;;Southampton;no;True
0;1;male;21;0;1;77.29;S;First;man;True;D;Southampton;no;False
0;3;male;33;0;0;8.65;S;Third;man;True;;Southampton;no;True
0;3;male;37;2;0;7.93;S;Third;man;True;;Southampton;no;False
0;3;male;28;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;3;female;21;0;0;7.65;S;Third;woman;False;;Southampton;yes;True
1;3;male;;0;0;7.78;S;Third;man;True;;Southampton;yes;True
0;3;male;38;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;3;female;;1;0;24.15;Q;Third;woman;False;;Queenstown;yes;False
0;1;male;47;0;0;52.00;S;First;man;True;C;Southampton;no;True
0;3;female;14;1;0;14.45;C;Third;child;False;;Cherbourg;no;False
0;3;male;22;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;female;20;1;0;9.83;S;Third;woman;False;;Southampton;no;False
0;3;female;17;0;0;14.46;C;Third;woman;False;;Cherbourg;no;True
0;3;male;21;0;0;7.93;S;Third;man;True;;Southampton;no;True
0;3;male;70.5;0;0;7.75;Q;Third;man;True;;Queenstown;no;True
0;2;male;29;1;0;21.00;S;Second;man;True;;Southampton;no;False
0;1;male;24;0;1;247.52;C;First;man;True;B;Cherbourg;no;False
0;3;female;2;4;2;31.28;S;Third;child;False;;Southampton;no;False
0;2;male;21;2;0;73.50;S;Second;man;True;;Southampton;no;False
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;2;male;32.5;1;0;30.07;C;Second;man;True;;Cherbourg;no;False
1;2;female;32.5;0;0;13.00;S;Second;woman;False;E;Southampton;yes;True
0;1;male;54;0;1;77.29;S;First;man;True;D;Southampton;no;False
1;3;male;12;1;0;11.24;C;Third;child;False;;Cherbourg;yes;False
0;3;male;;0;0;7.75;Q;Third;man;True;;Queenstown;no;True
1;3;male;24;0;0;7.14;S;Third;man;True;;Southampton;yes;True
1;3;female;;1;1;22.36;C;Third;woman;False;F;Cherbourg;yes;False
0;3;male;45;0;0;6.98;S;Third;man;True;;Southampton;no;True
0;3;male;33;0;0;7.90;C;Third;man;True;;Cherbourg;no;True
0;3;male;20;0;0;7.05;S;Third;man;True;;Southampton;no;True
0;3;female;47;1;0;14.50;S;Third;woman;False;;Southampton;no;False
1;2;female;29;1;0;26.00;S;Second;woman;False;;Southampton;yes;False
0;2;male;25;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;2;male;23;0;0;15.05;C;Second;man;True;;Cherbourg;no;True
1;1;female;19;0;2;26.28;S;First;woman;False;D;Southampton;yes;False
0;1;male;37;1;0;53.10;S;First;man;True;C;Southampton;no;False
0;3;male;16;0;0;9.22;S;Third;man;True;;Southampton;no;True
0;1;male;24;0;0;79.20;C;First;man;True;B;Cherbourg;no;True
0;3;female;;0;2;15.25;C;Third;woman;False;;Cherbourg;no;False
1;3;female;22;0;0;7.75;S;Third;woman;False;;Southampton;yes;True
1;3;female;24;1;0;15.85;S;Third;woman;False;;Southampton;yes;False
0;3;male;19;0;0;6.75;Q;Third;man;True;;Queenstown;no;True
0;2;male;18;0;0;11.50;S;Second;man;True;;Southampton;no;True
0;2;male;19;1;1;36.75;S;Second;man;True;;Southampton;no;False
1;3;male;27;0;0;7.80;S;Third;man;True;;Southampton;yes;True
0;3;female;9;2;2;34.38;S;Third;child;False;;Southampton;no;False
0;2;male;36.5;0;2;26.00;S;Second;man;True;F;Southampton;no;False
0;2;male;42;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;2;male;51;0;0;12.53;S;Second;man;True;;Southampton;no;True
1;1;female;22;1;0;66.60;S;First;woman;False;C;Southampton;yes;False
0;3;male;55.5;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;40.5;0;2;14.50;S;Third;man;True;;Southampton;no;False
0;3;male;;0;0;7.31;S;Third;man;True;;Southampton;no;True
0;1;male;51;0;1;61.38;C;First;man;True;;Cherbourg;no;False
1;3;female;16;0;0;7.73;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;30;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;8.66;S;Third;man;True;;Southampton;no;True
0;3;male;;8;2;69.55;S;Third;man;True;;Southampton;no;False
0;3;male;44;0;1;16.10;S;Third;man;True;;Southampton;no;False
1;2;female;40;0;0;15.75;S;Second;woman;False;;Southampton;yes;True
0;3;male;26;0;0;7.78;S;Third;man;True;;Southampton;no;True
0;3;male;17;0;0;8.66;S;Third;man;True;;Southampton;no;True
0;3;male;1;4;1;39.69;S;Third;child;False;;Southampton;no;False
1;3;male;9;0;2;20.53;S;Third;child;False;;Southampton;yes;False
1;1;female;;0;1;55.00;S;First;woman;False;E;Southampton;yes;False
0;3;female;45;1;4;27.90;S;Third;woman;False;;Southampton;no;False
0;1;male;;0;0;25.93;S;First;man;True;;Southampton;no;True
0;3;male;28;0;0;56.50;S;Third;man;True;;Southampton;no;True
0;1;male;61;0;0;33.50;S;First;man;True;B;Southampton;no;True
0;3;male;4;4;1;29.13;Q;Third;child;False;;Queenstown;no;False
1;3;female;1;1;1;11.13;S;Third;child;False;;Southampton;yes;False
0;3;male;21;0;0;7.93;S;Third;man;True;;Southampton;no;True
0;1;male;56;0;0;30.70;C;First;man;True;A;Cherbourg;no;True
0;3;male;18;1;1;7.85;S;Third;man;True;;Southampton;no;False
0;3;male;;3;1;25.47;S;Third;man;True;;Southampton;no;False
0;1;female;50;0;0;28.71;C;First;woman;False;C;Cherbourg;no;True
0;2;male;30;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;3;male;36;0;0;0.00;S;Third;man;True;;Southampton;no;True
0;3;female;;8;2;69.55;S;Third;woman;False;;Southampton;no;False
0;2;male;;0;0;15.05;C;Second;man;True;;Cherbourg;no;True
0;3;male;9;4;2;31.39;S;Third;child;False;;Southampton;no;False
1;2;male;1;2;1;39.00;S;Second;child;False;F;Southampton;yes;False
1;3;female;4;0;2;22.03;S;Third;child;False;;Southampton;yes;False
0;1;male;;0;0;50.00;S;First;man;True;A;Southampton;no;True
1;3;female;;1;0;15.50;Q;Third;woman;False;;Queenstown;yes;False
1;1;male;45;0;0;26.55;S;First;man;True;;Southampton;yes;True
0;3;male;40;1;1;15.50;Q;Third;man;True;;Queenstown;no;False
0;3;male;36;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;2;female;32;0;0;13.00;S;Second;woman;False;;Southampton;yes;True
0;2;male;19;0;0;13.00;S;Second;man;True;;Southampton;no;True
1;3;female;19;1;0;7.85;S;Third;woman;False;;Southampton;yes;False
1;2;male;3;1;1;26.00;S;Second;child;False;F;Southampton;yes;False
1;1;female;44;0;0;27.72;C;First;woman;False;B;Cherbourg;yes;True
1;1;female;58;0;0;146.52;C;First;woman;False;B;Cherbourg;yes;True
0;3;male;;0;0;7.75;Q;Third;man;True;;Queenstown;no;True
0;3;male;42;0;1;8.40;S;Third;man;True;;Southampton;no;False
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
0;2;female;24;0;0;13.00;S;Second;woman;False;;Southampton;no;True
0;3;male;28;0;0;9.50;S;Third;man;True;;Southampton;no;True
0;3;male;;8;2;69.55;S;Third;man;True;;Southampton;no;False
0;3;male;34;0;0;6.50;S;Third;man;True;;Southampton;no;True
0;3;male;45.5;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
1;3;male;18;0;0;8.05;S;Third;man;True;;Southampton;yes;True
0;3;female;2;0;1;10.46;S;Third;child;False;G;Southampton;no;False
0;3;male;32;1;0;15.85;S;Third;man;True;;Southampton;no;False
1;3;male;26;0;0;18.79;C;Third;man;True;;Cherbourg;yes;True
1;3;female;16;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
1;1;male;40;0;0;31.00;C;First;man;True;A;Cherbourg;yes;True
0;3;male;24;0;0;7.05;S;Third;man;True;;Southampton;no;True
1;2;female;35;0;0;21.00;S;Second;woman;False;;Southampton;yes;True
0;3;male;22;0;0;7.25;S;Third;man;True;;Southampton;no;True
0;2;male;30;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;3;male;;1;0;7.75;Q;Third;man;True;;Queenstown;no;False
1;1;female;31;1;0;113.28;C;First;woman;False;D;Cherbourg;yes;False
1;3;female;27;0;0;7.93;S;Third;woman;False;;Southampton;yes;True
0;2;male;42;1;0;27.00;S;Second;man;True;;Southampton;no;False
1;1;female;32;0;0;76.29;C;First;woman;False;D;Cherbourg;yes;True
0;2;male;30;0;0;10.50;S;Second;man;True;;Southampton;no;True
1;3;male;16;0;0;8.05;S;Third;man;True;;Southampton;yes;True
0;2;male;27;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;3;male;51;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;1;male;38;1;0;90.00;S;First;man;True;C;Southampton;yes;False
0;3;male;22;0;0;9.35;S;Third;man;True;;Southampton;no;True
1;2;male;19;0;0;10.50;S;Second;man;True;;Southampton;yes;True
0;3;male;20.5;0;0;7.25;S;Third;man;True;;Southampton;no;True
0;2;male;18;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;3;female;;3;1;25.47;S;Third;woman;False;;Southampton;no;False
1;1;female;35;1;0;83.48;S;First;woman;False;C;Southampton;yes;False
0;3;male;29;0;0;7.78;S;Third;man;True;;Southampton;no;True
0;2;male;59;0;0;13.50;S;Second;man;True;;Southampton;no;True
1;3;female;5;4;2;31.39;S;Third;child;False;;Southampton;yes;False
0;2;male;24;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;3;female;;0;0;7.55;S;Third;woman;False;;Southampton;no;True
0;2;male;44;1;0;26.00;S;Second;man;True;;Southampton;no;False
1;2;female;8;0;2;26.25;S;Second;child;False;;Southampton;yes;False
0;2;male;19;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;2;male;33;0;0;12.28;S;Second;man;True;;Southampton;no;True
0;3;female;;1;0;14.45;C;Third;woman;False;;Cherbourg;no;False
1;3;female;;1;0;15.50;Q;Third;woman;False;;Queenstown;yes;False
0;2;male;29;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;3;male;22;0;0;7.13;S;Third;man;True;;Southampton;no;True
0;3;male;30;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
0;1;male;44;2;0;90.00;Q;First;man;True;C;Queenstown;no;False
0;3;female;25;0;0;7.78;S;Third;woman;False;;Southampton;no;True
1;2;female;24;0;2;14.50;S;Second;woman;False;;Southampton;yes;False
1;1;male;37;1;1;52.55;S;First;man;True;D;Southampton;yes;False
0;2;male;54;1;0;26.00;S;Second;man;True;;Southampton;no;False
0;3;male;;0;0;7.25;S;Third;man;True;;Southampton;no;True
0;3;female;29;1;1;10.46;S;Third;woman;False;G;Southampton;no;False
0;1;male;62;0;0;26.55;S;First;man;True;C;Southampton;no;True
0;3;male;30;1;0;16.10;S;Third;man;True;;Southampton;no;False
0;3;female;41;0;2;20.21;S;Third;woman;False;;Southampton;no;False
1;3;female;29;0;2;15.25;C;Third;woman;False;;Cherbourg;yes;False
1;1;female;;0;0;79.20;C;First;woman;False;;Cherbourg;yes;True
1;1;female;30;0;0;86.50;S;First;woman;False;B;Southampton;yes;True
1;1;female;35;0;0;512.33;C;First;woman;False;;Cherbourg;yes;True
1;2;female;50;0;1;26.00;S;Second;woman;False;;Southampton;yes;False
0;3;male;;0;0;7.75;Q;Third;man;True;;Queenstown;no;True
1;3;male;3;4;2;31.39;S;Third;child;False;;Southampton;yes;False
0;1;male;52;1;1;79.65;S;First;man;True;E;Southampton;no;False
0;1;male;40;0;0;0.00;S;First;man;True;B;Southampton;no;True
0;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;no;True
0;2;male;36;0;0;10.50;S;Second;man;True;;Southampton;no;True
0;3;male;16;4;1;39.69;S;Third;man;True;;Southampton;no;False
1;3;male;25;1;0;7.78;S;Third;man;True;;Southampton;yes;False
1;1;female;58;0;1;153.46;S;First;woman;False;C;Southampton;yes;False
1;1;female;35;0;0;135.63;S;First;woman;False;C;Southampton;yes;True
0;1;male;;0;0;31.00;S;First;man;True;;Southampton;no;True
1;3;male;25;0;0;0.00;S;Third;man;True;;Southampton;yes;True
1;2;female;41;0;1;19.50;S;Second;woman;False;;Southampton;yes;False
0;1;male;37;0;1;29.70;C;First;man;True;C;Cherbourg;no;False
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
1;1;female;63;1;0;77.96;S;First;woman;False;D;Southampton;yes;False
0;3;female;45;0;0;7.75;S;Third;woman;False;;Southampton;no;True
0;2;male;;0;0;0.00;S;Second;man;True;;Southampton;no;True
0;3;male;7;4;1;29.13;Q;Third;child;False;;Queenstown;no;False
1;3;female;35;1;1;20.25;S;Third;woman;False;;Southampton;yes;False
0;3;male;65;0;0;7.75;Q;Third;man;True;;Queenstown;no;True
0;3;male;28;0;0;7.85;S;Third;man;True;;Southampton;no;True
0;3;male;16;0;0;9.50;S;Third;man;True;;Southampton;no;True
1;3;male;19;0;0;8.05;S;Third;man;True;;Southampton;yes;True
0;1;male;;0;0;26.00;S;First;man;True;A;Southampton;no;True
0;3;male;33;0;0;8.66;C;Third;man;True;;Cherbourg;no;True
1;3;male;30;0;0;9.50;S;Third;man;True;;Southampton;yes;True
0;3;male;22;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;2;male;42;0;0;13.00;S;Second;man;True;;Southampton;yes;True
1;3;female;22;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
1;1;female;26;0;0;78.85;S;First;woman;False;;Southampton;yes;True
1;1;female;19;1;0;91.08;C;First;woman;False;B;Cherbourg;yes;False
0;2;male;36;0;0;12.88;C;Second;man;True;D;Cherbourg;no;True
0;3;female;24;0;0;8.85;S;Third;woman;False;;Southampton;no;True
0;3;male;24;0;0;7.90;S;Third;man;True;;Southampton;no;True
0;1;male;;0;0;27.72;C;First;man;True;;Cherbourg;no;True
0;3;male;23.5;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
0;1;female;2;1;2;151.55;S;First;child;False;C;Southampton;no;False
1;1;male;;0;0;30.50;S;First;man;True;C;Southampton;yes;True
1;1;female;50;0;1;247.52;C;First;woman;False;B;Cherbourg;yes;False
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
1;3;male;;2;0;23.25;Q;Third;man;True;;Queenstown;yes;False
0;3;male;19;0;0;0.00;S;Third;man;True;;Southampton;no;True
1;2;female;;0;0;12.35;Q;Second;woman;False;E;Queenstown;yes;True
0;3;male;;0;0;8.05;S;Third;man;True;;Southampton;no;True
1;1;male;0.92;1;2;151.55;S;First;child;False;C;Southampton;yes;False
1;1;female;;0;0;110.88;C;First;woman;False;;Cherbourg;yes;True
1;1;female;17;1;0;108.90;C;First;woman;False;C;Cherbourg;yes;False
0;2;male;30;1;0;24.00;C;Second;man;True;;Cherbourg;no;False
1;1;female;30;0;0;56.93;C;First;woman;False;E;Cherbourg;yes;True
1;1;female;24;0;0;83.16;C;First;woman;False;C;Cherbourg;yes;True
1;1;female;18;2;2;262.38;C;First;woman;False;B;Cherbourg;yes;False
0;2;female;26;1;1;26.00;S;Second;woman;False;;Southampton;no;False
0;3;male;28;0;0;7.90;S;Third;man;True;;Southampton;no;True
0;2;male;43;1;1;26.25;S;Second;man;True;;Southampton;no;False
1;3;female;26;0;0;7.85;S;Third;woman;False;;Southampton;yes;True
1;2;female;24;1;0;26.00;S;Second;woman;False;;Southampton;yes;False
0;2;male;54;0;0;14.00;S;Second;man;True;;Southampton;no;True
1;1;female;31;0;2;164.87;S;First;woman;False;C;Southampton;yes;False
1;1;female;40;1;1;134.50;C;First;woman;False;E;Cherbourg;yes;False
0;3;male;22;0;0;7.25;S;Third;man;True;;Southampton;no;True
0;3;male;27;0;0;7.90;S;Third;man;True;;Southampton;no;True
1;2;female;30;0;0;12.35;Q;Second;woman;False;;Queenstown;yes;True
1;2;female;22;1;1;29.00;S;Second;woman;False;;Southampton;yes;False
0;3;male;;8;2;69.55;S;Third;man;True;;Southampton;no;False
1;1;female;36;0;0;135.63;C;First;woman;False;C;Cherbourg;yes;True
0;3;male;61;0;0;6.24;S;Third;man;True;;Southampton;no;True
1;2;female;36;0;0;13.00;S;Second;woman;False;D;Southampton;yes;True
1;3;female;31;1;1;20.53;S;Third;woman;False;;Southampton;yes;False
1;1;female;16;0;1;57.98;C;First;woman;False;B;Cherbourg;yes;False
1;3;female;;2;0;23.25;Q;Third;woman;False;;Queenstown;yes;False
0;1;male;45.5;0;0;28.50;S;First;man;True;C;Southampton;no;True
0;1;male;38;0;1;153.46;S;First;man;True;C;Southampton;no;False
0;3;male;16;2;0;18.00;S;Third;man;True;;Southampton;no;False
1;1;female;;1;0;133.65;S;First;woman;False;;Southampton;yes;False
0;3;male;;0;0;7.90;S;Third;man;True;;Southampton;no;True
0;1;male;29;1;0;66.60;S;First;man;True;C;Southampton;no;False
1;1;female;41;0;0;134.50;C;First;woman;False;E;Cherbourg;yes;True
1;3;male;45;0;0;8.05;S;Third;man;True;;Southampton;yes;True
0;1;male;45;0;0;35.50;S;First;man;True;;Southampton;no;True
1;2;male;2;1;1;26.00;S;Second;child;False;F;Southampton;yes;False
1;1;female;24;3;2;263.00;S;First;woman;False;C;Southampton;yes;False
0;2;male;28;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;2;male;25;0;0;13.00;S;Second;man;True;;Southampton;no;True
0;2;male;36;0;0;13.00;S;Second;man;True;;Southampton;no;True
1;2;female;24;0;0;13.00;S;Second;woman;False;F;Southampton;yes;True
1;2;female;40;0;0;13.00;S;Second;woman;False;;Southampton;yes;True
1;3;female;;1;0;16.10;S;Third;woman;False;;Southampton;yes;False
1;3;male;3;1;1;15.90;S;Third;child;False;;Southampton;yes;False
0;3;male;42;0;0;8.66;S;Third;man;True;;Southampton;no;True
0;3;male;23;0;0;9.23;S;Third;man;True;;Southampton;no;True
0;1;male;;0;0;35.00;S;First;man;True;C;Southampton;no;True
0;3;male;15;1;1;7.23;C;Third;child;False;;Cherbourg;no;False
0;3;male;25;1;0;17.80;S;Third;man;True;;Southampton;no;False
0;3;male;;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
0;3;male;28;0;0;9.50;S;Third;man;True;;Southampton;no;True
1;1;female;22;0;1;55.00;S;First;woman;False;E;Southampton;yes;False
0;2;female;38;0;0;13.00;S;Second;woman;False;;Southampton;no;True
1;3;female;;0;0;7.88;Q;Third;woman;False;;Queenstown;yes;True
1;3;female;;0;0;7.88;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;40;1;4;27.90;S;Third;man;True;;Southampton;no;False
0;2;male;29;1;0;27.72;C;Second;man;True;;Cherbourg;no;False
0;3;female;45;0;1;14.45;C;Third;woman;False;;Cherbourg;no;False
0;3;male;35;0;0;7.05;S;Third;man;True;;Southampton;no;True
0;3;male;;1;0;15.50;Q;Third;man;True;;Queenstown;no;False
0;3;male;30;0;0;7.25;S;Third;man;True;;Southampton;no;True
1;1;female;60;1;0;75.25;C;First;woman;False;D;Cherbourg;yes;False
1;3;female;;0;0;7.23;C;Third;woman;False;;Cherbourg;yes;True
1;3;female;;0;0;7.75;Q;Third;woman;False;;Queenstown;yes;True
1;1;female;24;0;0;69.30;C;First;woman;False;B;Cherbourg;yes;True
1;1;male;25;1;0;55.44;C;First;man;True;E;Cherbourg;yes;False
0;3;male;18;1;0;6.50;S;Third;man;True;;Southampton;no;False
0;3;male;19;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;1;male;22;0;0;135.63;C;First;man;True;;Cherbourg;no;True
0;3;female;3;3;1;21.08;S;Third;child;False;;Southampton;no;False
1;1;female;;1;0;82.17;C;First;woman;False;;Cherbourg;yes;False
1;3;female;22;0;0;7.25;S;Third;woman;False;;Southampton;yes;True
0;1;male;27;0;2;211.50;C;First;man;True;C;Cherbourg;no;False
0;3;male;20;0;0;4.01;C;Third;man;True;;Cherbourg;no;True
0;3;male;19;0;0;7.78;S;Third;man;True;;Southampton;no;True
1;1;female;42;0;0;227.53;C;First;woman;False;;Cherbourg;yes;True
1;3;female;1;0;2;15.74;C;Third;child;False;;Cherbourg;yes;False
0;3;male;32;0;0;7.93;S;Third;man;True;;Southampton;no;True
1;1;female;35;1;0;52.00;S;First;woman;False;;Southampton;yes;False
